,material,perm,a,b,c,d,e,δµ/µi(%),δµ
45,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
46,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
47,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
48,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
49,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
50,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
51,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
52,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
53,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
54,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
55,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
56,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
57,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
58,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
59,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
60,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
61,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
62,Kool Mµ MAX,60.0,-0.0025217027343749994,0.0001879,-3.773e-06,1.172e-08,-2.041e-12,-0.001106958984375,-0.138369873046875
