input,output
2700,0.13
2800,0.15
2900,0.33
3000,0.5
3100,0.68
3200,0.85
3300,1.03
3400,1.2
3500,1.57
3600,1.93
3700,2.3
3800,2.9
3900,3.55
4000,4.28
4100,5.0
4200,5.71
4300,6.43
4400,7.14
4500,7.86
4600,8.57
4700,9.29
4800,10.0
4900,11.25
5000,12.5
5100,14.0
5200,16.8
5300,21.2
5400,25.6
5500,30.0
5600,33.0
5700,36.0
5800,39.0
5900,42.0
6000,45.0
6100,48.0
6200,53.0
6300,62.0
6400,74.67
6500,87.33
6600,100.0
