input,output
2700,1.6
2800,1.66
2900,1.8
3000,2.01
3100,2.23
3200,2.44
3300,2.65
3400,3.0
3500,3.7
3600,4.75
3700,5.8
3800,6.85
3900,7.9
4000,8.95
4100,10.0
4200,11.17
4300,12.33
4400,13.5
4500,14.67
4600,15.83
4700,17.0
4800,19.0
4900,24.0
5000,31.5
5100,36.0
5200,39.75
5300,43.5
5400,47.25
5500,51.0
5600,56.0
5700,62.29
5800,68.57
5900,74.86
6000,81.14
6100,87.43
6200,93.71
6300,100.0
6400,100.0
6500,100.0
6600,100.0
