input,output
2700,0.15
2800,0.15
2900,0.28
3000,0.41
3100,0.54
3200,0.67
3300,0.8
3400,1.0
3500,1.36
3600,1.79
3700,2.22
3800,2.65
3900,3.08
4000,3.51
4100,3.94
4200,4.57
4300,5.28
4400,6.08
4500,6.98
4600,7.99
4700,9.11
4800,10.37
4900,11.76
5000,13.31
5100,15.03
5200,16.93
5300,19.03
5400,21.34
5500,23.88
5600,26.67
5700,29.73
5800,33.07
5900,36.73
6000,40.71
6100,45.05
6200,49.77
6300,58.13
6400,71.58
6500,85.18
6600,100.0
